Name,Latitude,Longitude,Elevation,DBH,H
BCR001,46.70380203,-120.915944,874.8,-9999,-9999
BCR002,46.70211702,-120.914279,943.7,0.66,-9999
BCR003,46.701984,-120.912881,936.9,1,-9999
BCR004,46.70580296,-120.90909,885.8,0.57,-9999
BCR005,46.70193102,-120.913015,940,0.83,-9999
BCR007,46.70584604,-120.908905,855.2,0.74,-9999
BCR008,46.66424498,-120.937134,1316.7,0.75,-9999
BCR009,46.66360301,-120.93385,1275.4,0.85,-9999
BCR010,46.66478402,-120.933397,1293.8,1.2,-9999
BCR011,46.66538701,-120.934595,1307,0.96,-9999
BCR012,46.70668,-120.911749,732.077087,0.971,-9999
BCR013,46.706715,-120.912633,770.851746,1.16,-9999
BCR014,46.706664,-120.912957,766,0.835,-9999
BCR015,46.706014,-120.914825,780.677795,1.125,-9999
BCR016,46.706951,-120.914686,824.525269,1.12,-9999
BCR017,46.706063,-120.916326,797.994568,1.236,-9999
BCR018,46.704934,-120.919442,763.380493,1.065,-9999
BCR019,46.701124,-120.93407,918.34552,0.906,-9999
BCR020,46.700243,-120.934503,925.870117,1.204,-9999
BCR021,46.700413,-120.934499,917.19574,0.717,-9999
BCR022,46.700065,-120.93369,955.707947,0.832,-9999
BCR023,46.700097,-120.933746,941.420471,0.519,-9999
BCR024,46.699636,-120.933842,965.090271,0.86,-9999
BCR025,46.699182,-120.934075,975.155518,0.997,-9999
BCR026,46.699019,-120.934285,979.145142,1.181,-9999
BCR027,46.697999,-120.932893,993.861816,1.1,13
BCR028,46.697831,-120.932996,998.659485,0.816,22.5
BCR029,46.697796,-120.932975,985.487,0.691,-9999
BCR030,46.696938,-120.933207,1005.586121,0.998,18
BCR031,46.69603,-120.933191,1013.973083,0.703,12.2
BCR032,46.695652,-120.932428,996.503662,1.177,-9999
BCR033,46.695665,-120.93249,1005.614136,0.805,-9999
BCR034,46.695961,-120.931783,995.429565,0.875,-9999
BCR035,46.695991,-120.931416,1002.440491,0.89,-9999
BCR036,46.696454,-120.931994,1003.356689,0.829,24.8
BCR037,46.696461,-120.931959,996.405884,1.017,-9999
BCR038,46.696595,-120.931302,993.256226,1.029,25.6
BCR039,46.69745,-120.932039,997.671082,0.953,-9999
BCR040,46.697926,-120.932114,996.877136,0.892,-9999
BCR041,46.698529,-120.932303,994.39563,1.037,16.4
BCR042,46.698555,-120.931458,991.390198,0.836,15
