Name,Latitude,Longitude,Elevation,DBH,H
FOD001,48.180754,-120.252617,1063.534912,0.676,-9999
FOD002,48.180803,-120.252796,1080.746216,0.66,-9999
FOD003,48.18124,-120.252956,1103.629395,0.853,35
FOD004,48.182008,-120.2526,1147.27063,0.686,-9999
FOD005,48.182168,-120.253214,1167.345825,0.705,29.2
FOD006,48.182201,-120.253026,1169.167969,0.663,31.2
FOD007,48.182079,-120.253349,1166.834839,0.584,-9999
FOD008,48.181889,-120.253582,1165.427246,0.819,-9999
FOD009,48.182084,-120.253532,1179.61731,0.656,-9999
FOD010,48.18239,-120.253077,1195.672729,0.609,-9999
FOD011,48.182671,-120.253225,1214.731812,0.741,-9999
FOD012,48.183037,-120.253369,1240.385986,0.649,-9999
FOD013,48.183075,-120.253055,1236.330078,0.843,-9999
FOD014,48.183285,-120.2534,1257.093506,0.748,-9999
FOD015,48.183551,-120.253726,1268.170166,0.826,-9999
FOD016,48.183551,-120.25344,1276.37561,0.612,-9999
FOD017,48.183675,-120.253636,1276.775879,0.711,-9999
FOD018,48.183803,-120.253731,1283.859985,0.71,-9999
FOD019,48.183854,-120.253762,1285.204468,0.759,-9999
FOD020,48.183951,-120.253763,1286.665527,0.821,-9999
FOD021,48.183928,-120.253488,1290.143311,0.934,-9999
FOD022,48.183997,-120.253411,1293.688965,0.817,-9999
FOD023,48.184085,-120.253017,1293.119263,0.76,-9999
FOD024,48.184545,-120.253337,1322.900513,0.789,-9999
FOD025,48.184456,-120.253449,1317.102051,0.78,-9999
FOD026,48.184574,-120.253381,1323.96106,0.591,-9999
FOD027,48.184665,-120.253322,1330.030273,0.816,-9999
FOD028,48.182732,-120.252532,1193.13562,0.509,-9999
FOD029,48.182849,-120.252475,1191.252075,0.799,-9999
FOD030,48.180197,-120.256409,1121.499512,0.826,-9999
FOD031,48.180316,-120.256866,1145.299072,0.983,-9999
FOD032,48.180309,-120.257024,1152.228394,0.699,-9999
FOD033,48.18049,-120.257,1167.615845,0.94,-9999
FOD034,48.180496,-120.256689,1160.864014,0.777,-9999
FOD035,48.180654,-120.257068,1191.726196,0.788,-9999
FOD036,48.180606,-120.257677,1202.335449,0.664,-9999
FOD037,48.181012,-120.258252,1246.965576,0.78,-9999
FOD038,48.181191,-120.25847,1264.780396,0.898,-9999
FOD039,48.181361,-120.25853,1276.53064,0.84,-9999
FOD040,48.181555,-120.258778,1290.953735,0.832,-9999
FOD041,48.181897,-120.259155,1316.396606,0.943,-9999
FOD042,48.181882,-120.259161,1312.461792,0.969,-9999
FOD043,48.182185,-120.259415,1332.869873,1.031,-9999
FOD044,48.181759,-120.259588,1316.875366,0.963,-9999
