Name,Latitude,Longitude,Elevation,DBH,H
SND001,48.58463899,-119.137346,1131.6,0.56,-9999
SND002,48.58450698,-119.137442,1131.4,0.85,-9999
SND003,48.58467001,-119.138432,1173.7,0.82,-9999
SND004,48.58500704,-119.138484,1167.5,0.73,-9999
SND005,48.58559797,-119.138225,1162.2,0.59,-9999
SND006,48.58444897,-119.137151,1130.7,0.6,-9999
SND007,48.58446197,-119.136898,1121.1,0.49,-9999
SND008,48.587131,-119.138276,1124.927124,0.7,-9999
SND009,48.586818,-119.138418,1129.469727,0.735,-9999
SND010,48.586732,-119.138208,1131.504272,0.718,-9999
SND011,48.58688,-119.139124,1150.687866,0.45,-9999
SND012,48.587273,-119.13889,1134.613159,0.587,-9999
SND013,48.587401,-119.138739,1125.46582,0.566,-9999
SND014,48.587658,-119.138846,1118.591797,0.67,-9999
SND015,48.587588,-119.138124,1111.421265,0.685,-9999
SND016,48.584103,-119.13649,1114.0625,0.754,-9999
SND017,48.584168,-119.136576,1115.256958,0.635,-9999
SND018,48.584117,-119.136866,1130.242432,0.738,-9999
SND019,48.584129,-119.137242,1145.222656,0.703,-9999
SND020,48.583978,-119.137257,1143.456055,0.632,-9999
SND021,48.585382,-119.137592,1153.504028,0.821,-9999
SND022,48.584793,-119.136831,1137.777222,0.753,-9999
SND023,48.586779,-119.137869,1132.453003,0.594,-9999
SND024,48.586545,-119.138032,1141.581421,0.515,-9999
SND025,48.58646,-119.137869,1126.048584,0.66,-9999
SND026,48.586581,-119.13765,1132.061646,0.55,-9999
SND027,48.593282,-119.148921,1202.54126,1.129,27.4
SND028,48.593468,-119.148804,1211.687378,0.67,22.6
SND029,48.593849,-119.149516,1218.240845,0.632,12.8
SND030,48.593892,-119.149176,1218.089844,0.87,25.6
SND031,48.593649,-119.148939,1219.065796,0.62,17.8
SND032,48.593963,-119.148188,1208.153687,0.865,18.6
SND033,48.594014,-119.148195,1206.361328,0.725,16.8
SND034,48.593753,-119.148243,1203.929077,0.698,20.2
SND035,48.593299,-119.148336,1191.021606,0.852,21.2
