Name,Latitude,Longitude,Elevation,DBH,H
SUG001,48.596111,-119.697288,773.984436,1.359,-9999
SUG002,48.596227,-119.697083,789.664734,0.829,33.8
SUG003,48.596193,-119.696965,785.573975,0.98,38.4
SUG004,48.596622,-119.696897,816.323242,0.802,38
SUG005,48.596732,-119.696762,830.750977,-9999,-9999
SUG006,48.596657,-119.69598,854.222351,-9999,-9999
SUG007,48.596667,-119.695118,883.747192,0.7,-9999
SUG008,48.596865,-119.69519,897.090027,0.38,-9999
SUG009,48.596957,-119.695102,903.092041,0.35,-9999
SUG010,48.597572,-119.694494,949.172546,1.05,-9999
SUG011,48.598189,-119.695434,969.870667,-9999,-9999
SUG012,48.599471,-119.695192,969.171265,0.8,-9999
SUG013,48.599695,-119.695404,962.091492,0.76,-9999
SUG014,48.599873,-119.695661,956.940247,1.08,-9999
SUG015,48.597677,-119.696161,914.673218,0.87,-9999
SUG016,48.597512,-119.696274,903.548218,0.82,-9999
SUG017,48.596943,-119.696205,864.854675,-9999,-9999
SUG018,-9999,-9999,-9999,0.83,-9999
SUG019,-9999,-9999,-9999,0.756,-9999
SUG020,-9999,-9999,-9999,0.725,-9999
SUG021,-9999,-9999,-9999,1.11,-9999
SUG022,-9999,-9999,-9999,0.747,-9999
SUG023,48.595578,-119.703008,763.654846,0.966,-9999
SUG024,48.595787,-119.702626,772.802734,0.775,-9999
SUG025,48.595774,-119.702598,774,0.764,-9999
SUG026,48.59539,-119.701847,740.092163,0.947,-9999
SUG027,48.595311,-119.701857,739.832458,1.049,-9999
SUG028,48.595711,-119.700583,766.90802,0.795,35.8
SUG029,-9999,-9999,-9999,0.965,-9999
SUG030,48.596276,-119.700239,789.384521,0.593,-9999
SUG031,48.596444,-119.700351,811.759277,0.672,23
SUG032,48.595859,-119.700156,752.841003,1.39,40.6
