Name,Latitude,Longitude,Elevation,DBH,H
TMR001,47.33908198,-120.559232,1255.2,0.64,-9999
TMR002,47.33864302,-120.558026,1291.6,0.645,-9999
TMR003,47.33914199,-120.557636,1302.4,0.735,-9999
TMR004,47.33922598,-120.557196,1330.4,0.63,-9999
TMR005,47.33895298,-120.556621,1343.8,0.715,-9999
TMR006,47.34133101,-120.561541,1246.3,0.595,-9999
TMR007,47.339479,-120.556092,1338.665649,0.635,-9999
TMR008,47.339324,-120.555722,1354.177979,0.797,-9999
TMR009,47.339406,-120.555511,1360.577759,0.778,-9999
TMR010,47.339382,-120.554836,1401.809082,0.626,-9999
TMR011,47.339584,-120.554879,1404.744385,0.573,-9999
TMR012,47.339596,-120.554988,1404.095215,0.696,-9999
TMR013,47.339644,-120.554938,1403.464966,0.656,-9999
TMR014,47.338853,-120.554431,1385.573608,0.87,27.6
TMR015,47.33923,-120.553458,1398.490845,0.9,-9999
TMR016,47.33945,-120.553708,1414.544678,0.879,-9999
TMR017,47.339581,-120.553689,1419.125366,0.825,-9999
TMR018,47.339496,-120.553398,1414.394409,0.82,-9999
TMR019,47.338896,-120.554399,1397.161743,0.695,16.4
TMR020,47.338855,-120.554471,1394.734375,0.815,13.4
TMR021,47.338725,-120.554871,1393.254272,0.655,-9999
TMR022,47.338674,-120.554919,1387.278931,0.737,20
TMR023,47.338573,-120.555239,1373.634766,0.797,28.4
TMR024,47.33838,-120.555046,1371.202026,0.641,17.6
TMR025,47.338336,-120.554821,1368.610107,0.706,22.8
TMR026,47.338201,-120.555045,1362.535645,0.618,18.4
TMR027,47.338201,-120.555347,1366.798706,1.021,29
TMR028,47.338082,-120.555674,1351.34375,0.71,21.6
TMR029,47.337938,-120.555581,1351.142578,0.86,28
TMR030,47.337724,-120.55466,1348.272705,0.722,30
TMR031,47.340699,-120.556545,1352.127808,0.596,-9999
TMR032,47.340939,-120.556724,1363.716675,0.903,-9999
TMR033,47.340537,-120.555499,1386.975586,0.664,-9999
TMR034,47.340952,-120.554685,1427.234375,0.99,-9999
TMR035,47.340484,-120.554349,1422.549927,1.092,-9999
TMR036,47.341089,-120.554999,1420.402466,0.534,-9999
TMR037,47.342361,-120.55486,1424.762085,0.825,-9999
TMR038,47.342311,-120.555875,1374.909912,0.63,-9999
TMR039,47.342166,-120.555775,1372.031738,0.902,-9999
TMR040,47.34203,-120.555663,1369.480103,1.188,-9999
TMR041,47.342044,-120.556417,1344.140503,-9999,-9999
TMR042,47.34042,-120.556955,1352.648682,0.695,-9999
TMR043,47.340459,-120.55684,1359.284912,0.573,-9999
TMR044,47.340295,-120.557341,1335.526611,0.854,-9999
